"Actions","Ações"
"Add Answer","Adicionar Resposta"
"Add New Answer","Adicionar Nova Resposta"
"Add New Poll","Adicionar Nova Enquete"
"Answer Title","Título da Resposta"
"Answer Title:","Título da Resposta:"
"Answer with the same title in this poll","Responder com o mesmo título nesta enquete"
"Are you sure you want to delete it?","Você tem certeza que deseja apagar isso?"
"Assigned Answers","Respostas Atribuídas"
"Closed","Fechar"
"Community Poll","Enquete comunitária"
"Date Closed","Dados Fechados"
"Date Posted","Dados Postados"
"Delete","Excluir"
"Delete Answer","Apagar Resposta"
"Delete Poll","Apagar Enquete"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Não permitir que um mesmo endereço IP vote várias vezes em uma mesma enquete"
"Edit Answer '%s'","Editar Resposta '%s'"
"Edit Poll '%s'","Editar Enquete '%s'"
"Edit Poll Answer","Editar Resposta da Enquete"
"ID","Identidade"
"Invalid Answer.","Resposta Inválida"
"New Poll","Nova Pesquisa"
"Number of Responses","Número de Respostas"
"Open","Abrir"
"Poll Answers","Respostas da Pesquisa"
"Poll Information","Informações da Pesquisa"
"Poll Manager","Gerente de Pesquisa"
"Poll Question","Pergunta da Pesquisa"
"Poll information","Informações da pesquisa"
"Poll with the same question","Pesquisa com a mesma pergunta"
"Polls","Pesquisas"
"Save Answer","Salvar Resposta"
"Save Poll","Salvar Pesquisa"
"Status","Status"
"The answer has been saved.","A resposta foi salva."
"The poll does not exist.","A pesquisa não existe."
"Unable to find an answer to delete.","Não foi possível encontrar uma resposta para apagar."
"Visible In","Visível em"
"Vote","Votar"
"Votes Count","Contagem dos Votos"
"Votes Count:","Contagem dos Votos:"
