"3D Secure CAVV","3D Veilige CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Veilige Kaarthouder Verificatie"
"3D Secure Electronic Commerce Indicator","3D Veilige Electronische Commerce Indicator"
"3D Secure Verification Result","3D Veilig Verificatie Resultaat"
"3D Secure XID","3D Veilige XID"
"Card Issuer Liability","Kaart Uitgever Verplichting"
"Card Verification","Kaart Verificatie"
"Enrolled","Ingeschreven"
"Enrolled but Authentication Unavailable","Ingeschreven maar Authenticatie niet Beschikbaar"
"Failed","Mislukt"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Winkelier Aansprakelijkheid"
"Not Enrolled","Niet Ingeschreven"
"Order cannot be placed.","Order kan niet geplaatst worden."
"Payment information error. Please start over.","Betalingsinformatie fout. Start a.u.b. overnieuw."
"Please continue with placing order.","Ga aub verder met plaatsen order."
"Please verify the card with the issuer bank before placing the order.","Verifieer de kaart a.u.b. met de uitgevende bank, voordat u de order plaatst."
"Please verify the card with the issuer bank:","Verifieer de kaart a.u.b. met de uitgevende bank:"
"Start/Reset Validation...","Begin/Herstel Validatie..."
"Successful","Succesvol"
"Successful attempt","Succesvolle poging"
"The card has failed verification with the issuer bank.","De kaart verificatie met de uitgevende bank is mislukt."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Er is verkeerde betalingsinformatie verzonden of de tijdslimiet is verlopen. Probeer het a.u.b. opnieuw."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Er is verkeerde betalingsinformatie verzonden of tijdslimiet is verlopen. Probeer a.u.b. opnieuw."
"This card has failed validation and cannot be used.","Deze kaart kon niet worden gevalideerd en is onbruikbaar."
"To ensure the security of your transactions","Om de veiligheid van uw transacties te verzekeren"
"Unable to complete","Niet afgemaakt"
"Validation failed.","Validatie mislukt."
"Verification Failed","Verificatie mislukt"
"Verification Successful","Verificatie geslaagd"
"Verification cannot be processed","Verificatie kan niet worden verwerkt"
"Verified by Visa","Geverifieerd door Visa"
