"Add","Hinzufügen"
"Add gift message for shopping cart","Grußbotschaft für Warenkorb hinzufügen"
"Add gift messages for quote item of shopping cart","Grußbotschaften für bestimmte Artikel im Warenkorb hinzufügen"
"Add gift messages to products of shopping cart","Grußbotschaften für Produkte im Warenkorb hinzufügen"
"Add gift options","Geschenkoptionen hinzufügen"
"Add gift options for Individual Items","Geschenkoptionen für einzelne Artikel hinzufügen"
"Add gift options for the Entire Order","Geschenkoptionen für die gesamte Bestellung hinzufügen"
"Add gift options.","Geschenkoptionen hinzufügen."
"Allow Gift Messages for Order Items","Geschenknachrichten für Bestellartikel erlauben"
"Allow Gift Messages on Order Level","Geschenknachrichten auf Bestellebene erlauben"
"An error occurred while saving the gift message.","Beim Speichern der Geschenknachricht ist ein Fehler aufgetreten."
"Are you sure?","Sind Sie sicher?"
"Cancel","Abbrechen"
"Do you have any gift items in your order?","Haben Sie Geschenkartikel in Ihrer Bestellung?"
"Edit","Bearbeiten"
"From","Von"
"Gift Message","Grußnachricht"
"Gift Message API","Grußbotschaft API"
"Gift Options","Geschenkoptionen"
"Gift Options for","Geschenkoptionen für"
"Gift Options for Individual Items","Geschenkoptionen für einzelne Artikel"
"Gift Options for the Entire Order.","Geschenkoptionen für den gesamten Auftrag."
"Gift Options for this address.","Geschenkoptionen für diese Anschrift."
"Item %d of %d","Artikel %d von %d"
"Message","Nachricht"
"No","Nein"
"OK","OK"
"Save Gift Message","Geschenknachricht speichern"
"The gift message has been removed","Die Geschenknachricht wurde entfernt"
"The gift message has been saved","Die Geschenknachricht wurde gespeichert"
"The gift message has been saved.","Die Geschennachricht wurde gespeichert."
"To","An"
"Unknown entity type","Unbekannter Entitätentyp"
"Use config","Konfiguration benützen"
"Yes","Ja"
"You can leave this box blank if you do not wish to add a gift message for the item.","Lassen Sie diese Box leer, wenn Sie keine Geschenknachricht zum Artikel hinzufügen wollen."
"You can leave this box blank if you do not wish to add a gift message for this address.","Lassen Sie diese Box leer, wenn Sie keine Geschenknachricht zu dieser Adresse hinzufügen wollen."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Lassen Sie diese Box leer, wenn Sie keine Geschenknachricht zur gesamten Bestellung hinzufügen wollen."
