" Send auto-generated password",发送自动产生的密码
" The customer does not exist in the system anymore.",系统中不存在该顾客。
" [deleted]",[已删除]
"%1 coupon(s) have been generated.",%1个优惠券已经被生成。
"-- Not Selected --","-- 未选择 --"
"-- Please Select --","-- 请选择 --"
"-- Please Select Billing Agreement--","-- 请选择记账协议 --"
"-- Please Select a Category --","-- 请选择一个分类 --"
"-- Please select --",--请选择--
"--Please Select--","-- 请选择 --"
"1 Hour",1小时
"12 Hours",12小时
"12h AM/PM","21h AM/PM"
"2 Hours",2小时
"24 Hours",24小时
24h,24h
2YTD,2YTD
"6 Hours",6小时
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">（%4）</a>"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404错误</h1><p>页面找不到。</p>"
"<strong style=""""color:red"""">Warning!</strong> When using CDN"," in some cases JavaScript may not run properly if CDN is not in your subdomain"""
"<strong>Attention</strong>: Captcha is case sensitive.",<strong>注意</strong>：验证码为大小写敏感的。
"A total of %1 record(s) were deleted.",共%1条记录被删除。
"A total of %1 record(s) were updated.",共%1条记录被更新。
"API Key","API Key"
"Abandoned Carts",放弃购物车
"About the calendar",关于日历
"Access Denied",访问被拒绝
"Access denied",访问被拒绝
"Access denied.",访问被拒绝
"Account Created in:",账户创建于：
"Account Created on (%1):",账户创建于（%1）：
"Account Created on:",账户创建于：
"Account Information",账户信息
"Account Setting",账户设置
"Account Status",账户状态
Action,操作
Actions,操作
Active,活动
Add,添加
"Add New",添加新内容
"Add New Image",添加新图像
"Add New Role",添加新角色
"Add New Template",添加新模板
"Add New URL Rewrite",添加新URL重写
"Add New User",添加新用户
"Add New Variable",添加新变量
"Add Products",添加产品
"Add URL Rewrite",添加URL重写
"Add URL Rewrite for CMS page",给CMS页添加重写URL
"Add URL Rewrite for a Category",为分类添加URL重写
"Add URL Rewrite for a Product",为产品添加URL重写
"Add after",随后添加
Added,添加日期
"Additional Cache Management",额外的缓存管理
Admin,管理员
"Advanced Admin Section",高级管理区域
"Advanced Section",高级区域
All,全部
"All Allowed Countries",所有允许的国家
"All Cache",所有缓存
"All Files",所有文件
"All Reviews",所有评论
"All Reviews of Customer `%1`",所有顾客评论`%1`
"All Reviews of Product `%1`",所有产品评论`%1`
"All Store Views",所有店铺视图
"All Stores",全部店铺
"All Websites",所有网站
"All countries",所有国家
"All possible rates were fetched, please click on ""Save"" to apply",将自动获取所有可能的费率，请单击“保存”以应用
"All rates were fetched, please click on ""Save"" to apply",所有费率已获取，请单击“保存”已应用
"All valid rates have been saved.",所有有效的评级均已保存。
"Allow everything",允许每一个
"Always (during development)",总是（在开发过程中）
Amounts,数量
"An error occurred while clearing the JavaScript/CSS cache.","清空 JavaScript/CSS 缓存时发生错误。"
"An error occurred while clearing the image cache.",清空图像缓存时发生错误。
"An error occurred while deleting URL Rewrite.","删除 URL 重写时出错。"
"An error occurred while deleting email template data. Please review log and try again.",删除电子邮件模板数据时发生错误。请查看日志并重试。
"An error occurred while deleting record(s).",删除记录时出错。
"An error occurred while deleting this role.",删除该角色时发生错误。
"An error occurred while deleting this set.",删除该集合时发生错误。
"An error occurred while deleting this template.",删除该模板时发生错误。
"An error occurred while resetting customer password.",当重置顾客密码时发生错误。
"An error occurred while saving URL Rewrite.","保存 URL 重写时出错。"
"An error occurred while saving account.",保存账户时发生错误。
"An error occurred while saving review.",保存评论时出错。
"An error occurred while saving the customer.",保存顾客时发生错误。
"An error occurred while saving this configuration:",保存该配置时发生错误：
"An error occurred while saving this role.",保存该角色时出现了错误。
"An error occurred while saving this template.",保存该模板时出现了错误。
"An error occurred while updating the selected review(s).",更新所选评论时出现了错误。
Any,任意
"Any data created since the backup was made will be lost including admin users, customers and orders.",备份完成后创建的任何数据都将丢失，包括管理员用户、顾客，以及订单。
