"A block identifier with the same properties already exists in the selected store.","Een blok identificeerder met dezelfde waarden bestaat reeds in de geselecteerde winkel."
"A directory with the same name already exists. Please try another folder name.","Een directory met dezelfde naam bestaat reeds. Probeer a.u.b. een andere mapnaam."
"A page URL key for specified store already exists.","Een pagina URL sleutel voor gespecificeerde winkel bestaat reeds."
"Action","Actie"
"Add New Block","Voeg nieuw blok toe."
"Add New Page","Voeg nieuwe pagina toe"
"All Countries","Alle landen"
"An error occurred while saving the page.","Er is een fout opgetreden tijdens het opslaan van de pagina."
"Anchor Custom Text","Anker aangepaste tekst"
"Anchor Custom Title","Anker aangepaste titel"
"Are you sure you want to delete current folder?","Weet u zeker dat u de huidige map wilt verwijderen?"
"Are you sure you want to delete the selected file?","Weet u zeker dat u het geselecteerde bestand wilt verwijderen?"
"Block","Blokkeer"
"Block Information","Blokkeerinformatie"
"Block Title","Blokkeertitel"
"CMS","CMS"
"CMS Content Wrapper","CMS inhouds wikkel"
"CMS Home Page","CMS thuispagina"
"CMS No Cookies Page","CMS geen cookies pagina"
"CMS No Route Page","CMS geen route pagina"
"CMS No-Route Page","CMS geen-route pagina"
"CMS Page","CMS pagina"
"CMS Page Link","CMS pagina link"
"CMS Page Link Block Template","CMS pagina link blokkeer thema"
"CMS Page Link Inline Template","CMS pagina link in lijn thema"
"CMS Pages (All)","CMS pagina's (alle)"
"CMS Static Block","CMS statisch blok"
"CMS Static Block Default Template","CMS statisch blok standaard thema"
"Cannot create new directory.","Kan geen nieuwe directory maken"
"Cannot delete directory %s.","Kan directory %s niet verwijderen."
"Cannot delete root directory %s.","Kan worteldirectory %s niet verwijderen."
"Cannot upload file.","Kan bestand niet uploaden"
"Collapse All","Vouw allen in"
"Content","Inhoud"
"Content Heading","Inhoud hoofd"
"Content Management","Inhoudsbeheer"
"Contents of a Static Block","Inhoud van een statisch blok"
"Create Folder...","Maak map..."
"Custom Design","Aangepast ontwerp"
"Custom Design From","Aangepast ontwerp formulier"
"Custom Design To","Aangepast ontwerp naar"
"Custom Layout","Aangepaste layout"
"Custom Layout Update XML","Aangepaste layout vernieuwing XML"
"Custom Theme","Aangepast thema"
"Customer Tax Class Information","Klant belasting klasse informatie"
"Date Created","datum gecreëerd."
"Delete Block","Verwijder blok"
"Delete File","Verwijder bestand"
"Delete Folder","Verwijder map"
"Delete Page","Verwijder pagina"
"Description","Omschrijving"
"Design","Ontwerp"
"Disabled","Uitgeschakeld"
"Disabled Completely","Compleet uitgeschakeld"
"Disabled by Default","Uitgeschakeld in standaardmodus"
"Edit Block","Bewerk blok"
"Edit Block '%s'","Bewerk blok '%s'"
"Edit Page","Bewerk pagina"
"Edit Page '%s'","Bewerk pagina '%s'"
"Enable WYSIWYG Editor","Stel WYSIWYG bewerker in"
"Enabled","Werkzaam gemaakt"
"Enabled by Default","Ingeschakeld door standaard"
"Expand All","Klap allen uit"
"General Information","Algemene informatie"
"Go to Home Page","Ga naar homepage"
"Home","Thuis"
"ID","ID"
"Identifier","Identificeerder"
"If empty, the Page Title will be used","Indien leeg, zal de paginatitel worden gebruikt"
"Images (%s)","Afbeeldingen (%s)"
"Insert File","Voeg bestand in"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Onjuiste mapnaam. Gebruik a.u.b. alfanumerieke karakters, lage streepjes en streepjes."
"Keywords","sleutelwoorden"
"Last Modified","laatst gemodificeerd"
"Layout","layout"
"Layout Update XML","layout update XML"
"Link to a CMS Page","Link naar een CMS pagina"
"Manage Pages","beheer pagina's"
"Media Gallery","Media gallerij"
"Media Storage","Media opslag"
"Meta Data","Meta data"
"Meta Description","Meta omschrijving"
"Meta Keywords","Meta sleutelwoorden"
"New Block","Nieuw blok"
"New Folder Name:","Nieuwe mapnaam:"
"New Page","Nieuwe pagina"
"No files found","Geen bestanden gevonden"
"Page Information","Pagina informatie"
"Page Layout","Pagina layout"
"Page Status","Pagina status"
"Page Title","Pagina titel"
"Pages","Pagina's"
"Product Tax Class Information","Product belasting klasse informatie"
"Redirect to CMS-page if Cookies are Disabled","Leid om naar CMS-pagina indien cookies zijn uitgeschakeld"
"Relative to Website Base URL","Relatief aan website basis URL"
"Save Block","Sla blok op"
"Save Page","Sla pagina op"
"Save Process","Sla proces op"
"Select Block...","Selecteer blok..."
"Select Page...","Selecteer pagina..."
"Show Breadcrumbs for CMS Pages","Toon broodkruimels voor CMS pagina's"
"Show Notice if JavaScript is Disabled","Toon notitie indien JavaScript is aangezet"
"Static Blocks","Statische blokken"
"Status","Status"
"Storage Root","Opslag wortel"
"Store View","Winkelweergave"
"Template","Thema"
"The block has been deleted.","Het blok is verwijderd"
"The block has been saved.","Het blok is opgeslagen"
"The directory %s is not writable by server.","De directory%s is niet overschrijfbaar door de server."
"The page URL key cannot consist only of numbers.","De pagina-URL sleutel kan niet alleen uit nummers bestaan."
"The page URL key contains capital letters or disallowed symbols.","De pagina-URL sleutel bevat hoofdletters of niet-toegestane symbolen."
"The page has been deleted.","De pagina is verwijderd"
"The page has been saved.","De pagina is opgeslagen"
"The static block content cannot contain  directive with its self.","De inhoud van het statische blok mag geen richtlijn met zichzelf bevatten."
"This block no longer exists.","Dit blok bestaat niet langer"
"This page no longer exists.","Deze pagina bestaat niet langer"
"Title","Titel"
"URL Key","URL sleutel"
"Unable to find a block to delete.","Niet in staat om een blok te vinden om te verwijderen"
"Unable to find a page to delete.","Niet in staat om een pagina te vinden om te verwijderen"
"WYSIWYG Options","WYSIWYG opties"
"px.","px."
