Cancel,Annuleren
Back,Terug
ID,ID
Action,Actie
Reset,Opnieuw
Customer,Klant
Guest,Gast
Email,Email
Delete,Verwijderen
Store,Winkel
"Web Site","Web Site"
Status,Status
"Store View","Aanblik winkel"
Type,Type
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Total of %1 record(s) were deleted","Total of %1 record(s) were deleted"
Preview,Preview
Subject,Onderwerp
Sent,Verzonden
"Not Sent","Niet verstuurd"
Sending,Verzenden
Paused,Gepauzeerd
Newsletter,Nieuwsbrief
Updated,Updated
"Newsletter Subscription","Nieuwsbrief abonnement"
"Add New Template","Nieuw Sjabloon Toevoegen"
"Delete Template","Verwijder Template"
"Convert to Plain Text","Verander naar Gewone Tekst"
"Preview Template","Voorbeeld sjabloon"
"Save Template","Sjabloon Opslaan"
"Template Information","Sjabloon informatie"
"Template Name","Naam sjabloon"
"Template Subject","Sjabloon Onderwerp"
"Template Content","Inhoud sjabloon"
"Template Styles","Sjabloon Stijlen"
"Edit Template","Bewerk Sjabloon"
"New Template","Nieuw Sjabloon"
Template,Template
"Are you sure that you want to delete this template?","Weet je zeker dat je dit sjabloon wilt verwijderen?"
"Sender Name","Naam Afzender"
"Sender Email","Afzender Email"
Message,Boodschap
Recipients,Ontvangers
"Please enter a valid email address.","Voer een geldig email adres in."
"Delete Selected Problems","Verwijder Geselecteerde Problemen"
"Unsubscribe Selected","Uitschrijving geselecteerd"
"Save Newsletter","Nieuwsbrief Opslaan"
"Save and Resume","Opslaan en Doorgaan"
"View Newsletter","Bekijk nieuwsbrief"
"Edit Newsletter","Nieuwsbrief Aanpassen"
"Queue Information","Informatie Wachtrij"
"Queue Date Start","Queue Date Start"
"Subscribers From",Inschrijfformulier
"Newsletter Styles","Nieuwsbrief stijlen"
Start,Begin
Pause,Pauzeer
"Do you really want to cancel the queue?","Weet u zeker dat u de wachtrij wilt opheffen?"
Resume,"Ga door (meaning ' continue')"
"Newsletter Templates","Nieuwsbrief sjablonen"
"Return HTML Version","Laat Zien in HTML"
"Save As","Opslaan Als"
"Edit Newsletter Template","Nieuwsbrief Sjabloon Aanpassen"
"New Newsletter Template","Nieuwe Nieuwsbrief Sjabloon"
"No Templates Found","Geen sjablonen gevonden"
Added,Added
Sender,Verzender
"Template Type","Sjabloon Type"
"Queue Newsletter...","Nieuwsbrief Wachtrij..."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Nieuwsbrief Probleem Overzichten"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Queue","Nieuwsbrief Wachtrij"
"Edit Queue","Bewerk Rij"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"The newsletter queue has been saved.","The newsletter queue has been saved."
"Newsletter Subscribers","Nieuwsbrief abonnees"
Subscribers,Abonnees
"Please select one or more subscribers.","Please select one or more subscribers."
"Create Newsletter Template","Maak een Nieuw Nieuwsbrief Sjabloon"
"The newsletter template has been saved.","The newsletter template has been saved."
"An error occurred while saving this template.","An error occurred while saving this template."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"An error occurred while deleting this template.","An error occurred while deleting this template."
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Bedankt voor het inschrijven."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"Your subscription has been confirmed.","Uw uitschrijving is bevestigd."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"You have been unsubscribed.","U bent uitgeschreven."
"Something went wrong with the un-subscription.","Something went wrong with the un-subscription."
"This email address is already assigned to another user.","Dit emailadres wordt al door een andere gebruiker gebruikt."
"Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. ' 'Please <a href=""%1"">register</a>."
Cancelled,Geannuleerd
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  -->' '<a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}' '</a>"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Voorbeeld Nieuwsbrief Bericht"
"Add to Queue","Toevoegen aan de wachtrij"
"Are you sure that you want to strip all tags?","Weet u zeker dat uw alle labels wilt verwijderen?"
"Please enter new template name.","Please enter new template name."
" Copy",Kopieer
"Sign Up for Our Newsletter:","Schrijf in voor Onze Nieuwsbrief"
"Enter your email address","Enter your email address"
Subscribe,Inschrijven
CSV,CSV
"Excel XML","Excel XML"
"Subscription Options","Subscription Options"
"Allow Guest Subscription","Allow Guest Subscription"
"Need to Confirm","Need to Confirm"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
Subscriber,Abonnee
"Queue Start Date","Startdatum wachtrij"
"Queue Subject","Onderwerp Wachtrij"
"Error Code","Fout Code"
"Error Text","Fout Omschrijving"
"Queue Start","Begin Wachtrij"
"Queue End","Einde Wachtrij"
Processed,Verwerkt
Unsubscribe,Uitschrijven
"Customer First Name","Voornaam Klant"
"Customer Last Name","Achternaam Klant"
"Not Activated","Niet geactiveerd"
Subscribed,Uitschrijven
Unsubscribed,Uitgeschreven
Unconfirmed,Onbevestigd
