"A block identifier with the same properties already exists in the selected store.","選択した店舗には同じブロック識別子のブロックが存在しています。"
"A directory with the same name already exists. Please try another folder name.","同じ名前のディレクトリが既に存在しています。ほかの名前にしてください。"
"A page URL key for specified store already exists.","選択した店舗でURLキーが使用されています。"
"Action","アクション"
"Add New Block","新規ブロック追加"
"Add New Page","新規ページの追加"
"All Countries","全ての国"
"An error occurred while saving the page.","ページの保存中にエラーが発生しました。"
"Anchor Custom Text","アンカーカスタムテキスト"
"Anchor Custom Title","アンカーカスタムタイトル"
"Are you sure you want to delete current folder?","現在のフォルダを削除してもよろしいですか？"
"Are you sure you want to delete the selected file?","選択したファイルを削除してもよろしいですか？"
"Block","ブロック"
"Block Information","ブロック情報"
"Block Title","ブロックタイトル"
"CMS","CMS"
"CMS Content Wrapper","CMS コンテンツラッパー"
"CMS Home Page","CMSのホームページ"
"CMS No Cookies Page","Cookie無効時ページ"
"CMS No Route Page","CMSエラーページ"
"CMS No-Route Page","404Not Foundページ"
"CMS Page","CMSページ"
"CMS Page Link","CMSページリンク"
"CMS Page Link Block Template","CMSページリンクブロックテンプレート"
"CMS Page Link Inline Template","CMSページインラインリンクテンプレート"
"CMS Pages (All)","CMSページ (全て)"
"CMS Static Block","静的ブロック"
"CMS Static Block Default Template","静的ブロックデフォルトテンプレート"
"Cannot create new directory.","新しいディレクトリを作成できません。"
"Cannot delete directory %s.","ディレクトリ %s を削除できません。"
"Cannot delete root directory %s.","ルートディレクトリ %s を削除できません。"
"Cannot upload file.","ファイルをアップロードできません。"
"Collapse All","すべて折りたたむ"
"Content","内容"
"Content Heading","コンテンツヘッダ"
"Content Management","コンテンツ管理"
"Contents of a Static Block","静的ブロックのコンテンツ"
"Create Folder...","フォルダを作成..."
"Custom Design","カスタムデザイン"
"Custom Design From","カスタムデザイン適用開始日"
"Custom Design To","カスタムデザイン適用終了日"
"Custom Layout","カスタムレイアウト"
"Custom Layout Update XML","カスタムレイアウト更新XML"
"Custom Theme","カスタムテーマ"
"Customer Tax Class Information","顧客課税区分情報"
"Date Created","作成日付"
"Delete Block","ブロックの削除"
"Delete File","ファイルを削除"
"Delete Folder","フォルダを削除"
"Delete Page","ページの削除"
"Description","概要"
"Design","デザイン"
"Disabled","無効"
"Disabled Completely","完全に無効にする"
"Disabled by Default","デフォルトで無効"
"Edit Block","ブロックを編集"
"Edit Block '%s'","%s'ブロックを編集"
"Edit Page","ページの編集"
"Edit Page '%s'","ページ'%s'を編集"
"Enable WYSIWYG Editor","WYSIWYGエディタを有効にする"
"Enabled","有効"
"Enabled by Default","デフォルトで有効"
"Expand All","すべて展開する"
"General Information","総合情報"
"Go to Home Page","ホームページへ"
"Home","ホーム"
"ID","ID"
"Identifier","識別子"
"If empty, the Page Title will be used","空白の場合はページタイトルが使用されます（日本語は正しく処理されません）"
"Images (%s)","画像(%s)"
"Insert File","ファイル挿入"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","不正なフォルダ名です。半角英数字、「_」、「-」を使用してください。"
"Keywords","キーワード"
"Last Modified","最終更新日"
"Layout","レイアウト"
"Layout Update XML","レイアウトXMLを更新する"
"Link to a CMS Page","CMSページにリンク"
"Manage Pages","ページ管理"
"Media Gallery","メディアギャラリー"
"Media Storage","メディアストレージ"
"Meta Data","メタデータ"
"Meta Description","メタ概要"
"Meta Keywords","メタキーワード"
"New Block","新規ブロック"
"New Folder Name:","新しいフォルダ名:"
"New Page","新規ページ"
"No files found","ファイルが見つかりません"
"Page Information","ページ情報"
"Page Layout","ページレイアウト"
"Page Status","ページステータス"
"Page Title","ページタイトル"
"Pages","ページ"
"Product Tax Class Information","商品税区分情報"
"Redirect to CMS-page if Cookies are Disabled","Cookieが無効の場合はCMSページにリダイレクトさせる。"
"Relative to Website Base URL","ベースURLからの相対パス"
"Save Block","保存"
"Save Page","保存"
"Save Process","作業中を保存"
"Select Block...","ブロックを選択してください..."
"Select Page...","ページを選択してください..."
"Show Breadcrumbs for CMS Pages","CMSページにパンくずを表示する"
"Show Notice if JavaScript is Disabled","JavaScriptが無効の場合に警告を表示する。"
"Static Blocks","静的ブロック"
"Status","状態"
"Storage Root","ストレージルート"
"Store View","ストアビュー"
"Template","テンプレート"
"The block has been deleted.","ブロックを削除しました。"
"The block has been saved.","ブロックを保存しました。"
"The directory %s is not writable by server.","ディレクトリ %s は書き込み権限が付与されていません。"
"The page URL key cannot consist only of numbers.","URLキーは数字のみを指定することはできません。"
"The page URL key contains capital letters or disallowed symbols.","URLキーに使用できない文字が含まれています。"
"The page has been deleted.","ページを削除しました"
"The page has been saved.","ページを保存しました。"
"The static block content cannot contain  directive with its self.","静的ブロックに自分自身のブロックを含むことは出来ません。"
"This block no longer exists.","このブロックは存在していません。"
"This page no longer exists.","このページは存在していません。"
"Title","タイトル"
"URL Key","URLキー"
"Unable to find a block to delete.","削除するブロックが見つかりません。"
"Unable to find a page to delete.","削除するページが見つかりません。"
"WYSIWYG Options","WYSIWYGオプション"
"px.","ピクセル"
