"API Key",API密钥
"API Key, API Secret and Contact Email are required fields.",必须提供API密钥、API安全码和联络邮箱地址。
"API Secret",API安全码
"Add Subscription",添加订阅
"Authentication Types",认证类型
"Contact Email",联络邮件
"Creating API User for ",创建API用户给
Deny,否决
"Edit Subscription",编辑订阅
"Endpoint URL",端点URL
Events,事件
Format,格式
"Invalid Email address provided",提供的邮箱地址无效
"No Subscription ID was provided with the request.",没有提供订阅ID。
Revoke,撤销
Revoked,已撤销
Subscription,订阅
"Subscription registration failed!",订阅注册失败!
"Subscription registration succeeded.",成功注册订阅。
Subscriptions,订阅
"The <em>%1</em> subscription is requesting permissions to the following:",订阅<em>%1</em>正在请求下面的权限：
"The following topics are not authorized: %1","下面的话题没有被授权： %1"
"The subscription '%1' can not be removed.",订阅'%1'不能被移除。
"The subscription '%1' has been activated.",订阅'%1'不能被激活。
"The subscription '%1' has been removed.",订阅'%1'已经被被移除。
"The subscription '%1' has been revoked.",订阅'%1'已经被撤回。
"The subscription '%1' has been saved.",订阅'%1'已经被存储。
"The subscription '%1' has not been saved, as no data was provided.",由于没有提供数据，订阅'%1'已经被存储。
Topics,话题
"Unexpected error.  Please contact the administrator.",不期望的错误，请与管理员联系。
"WebHook Subscriptions",WebHook订阅
"No Items Found",未找到条目
