"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
"5 minutes","5 minutes"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (スケジュールタスク) - 分で全ての時間を示す"
"Daily","毎日"
"Failure History Lifetime","失敗履歴保持期間"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Cronが動作している間に生成される正確なＵＲＬサイトが作成されます > セキュアと非セキュアＵＲＬが決定されます。"
"Generate Schedules Every","スケジュール生成間隔"
"History Cleanup Every","履歴削除感覚"
"Hourly","Hourly"
"Invalid callback: %s::%s does not exist","無効な呼び戻し: %s::%s が存在しません"
"Invalid model/method definition, expecting ""model/class::method"".","無効な モデル/メソッドが定義されています。 期待する内容 ""model/class::method"""
"Minute Intervals","Minute Intervals"
"Missed if Not Run Within","失敗しているか、処理中です。"
"Monthly","毎月"
"No callbacks found","コールバック処理がありません"
"Schedule Ahead for","事前作成するスケジュール"
"Success History Lifetime","成功履歴保持期間"
"Too late for the schedule.","期限切れスケジュールとみなすまでの期間"
"Unable to delete the cron task.","Unable to delete the cron task."
"Unable to save the cron expression.","Cronジョブを保存できません。"
"Unknown error.","不明なエラー。"
"Weekly","毎週"
