ID,ID
Apply,Aanbrengen
No,Nee
Subtotal,"Subtotaal bedrag"
Discount,Kortingsbedrag
Uses,"Aantal gebruiken"
Delete,Delete
Yes,ja
"Web Site","Web Site"
Status,Status
"Save and Continue Edit","Bewaar en Ga Door met Bewerking"
Description,Omschrijving
Catalog,Catalogus
Actions,Acties
Rule,"Regel naam"
"Start on",Startdatum
"End on",Vervaldatum
Active,actief
"This rule no longer exists.","Deze regel bestaat niet langer"
"General Information","Algemene informatie"
Websites,Websites
"Add New Rule","voeg nieuwe regel toe"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nieuwe regel"
"Rule Information","Regel informatie"
"Discount Amount","Discount Amount"
"Stop Further Rules Processing","Stop verdere verwerking van regels"
Conditions,Voorwaarden
"Rule Name","Rule Name"
Inactive,Inactief
"Customer Groups",Klantgroepen
"From Date","Vanaf datum"
"To Date","Naar datum"
Priority,Prioriteit
Promotions,Promoties
"Edit Rule","Bewerk regel"
"The rule has been saved.","De regel is opgeslagen."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"The rule has been deleted.","De regel is verwijderd"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"Update the Product","Vernieuw het product"
"To Fixed Value","Naar gefixeerde waarde"
"To Percentage","Naar percentage"
"By Fixed value","Bij gefixeerde waarde"
"By Percentage","Bij percentage"
"Update product's %1 %2: %3","Update product's %1 %2: %3"
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"Shipping Method",Bezorgmethode
"Payment Method",Betalingsmethode
Created,"Gemaakt Op"
Alphanumeric,Alfanumeriek
"Apply To","Aanbrengen op"
"is one of","is one of"
"is not one of","is not one of"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
Alphabetical,Alfabetisch
Numeric,Numerieke
Generate,Aanmaken
Auto,Auto
Coupon,Kortingsbon
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Coupon Code",Kortingsboncode
is,is
"is not","is not"
CSV,CSV
"Excel XML","Excel XML"
"Total Weight",Totaalgewicht
"Discount (%1)","Discount (%1)"
"Store View Specific Labels","Winkel bekijk specifieke labels"
"Shopping Cart Price Rules","Winkelmandje prijsregels"
"Update prices using the following information","Update prijzen, gebruikmakende van de volgende informatie"
"Percent of product price discount","Procent van productprijs als korting"
"Fixed amount discount","Gefixeerd bedrag korting"
"Fixed amount discount for whole cart","Gefixeerd bedrag korting voor de hele winkelwagen"
"Buy X get Y free (discount amount is Y)","Koop X, krijg Y gratis (kortingsbedrag is Y)"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Breng aan op verzendhoeveelheid"
"Apply the rule only to cart items matching the following conditions ' '(leave blank for all items).","Apply the rule only to cart items matching the following conditions ' '(leave blank for all items)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
"Manage Coupon Codes","Beheer Coupon Codes"
"Coupons Information","Coupons Informatie"
"Coupon Qty","Coupon Qty"
"Code Length","Code Lengte"
"Excluding prefix, suffix and separators.","Exclusief voorvoegsels, achtervoegsels en afscheiders."
"Code Format","Code Formaat"
"Code Prefix","Code Voorvoegsel"
"Code Suffix","Code Achtervoegsel"
"Dash Every X Characters","Dash Alle X-tekens"
"If empty no separation.","Indien leeg geen scheiding."
"Times Used","Tijd Gebruikt"
"Are you sure you want to delete the selected coupon(s)?","Weet u zeker dat u de geselecteerde coupon(s) wilt verwijderen?"
Labels,Labels
"Default Label",Standaardlabel
"Default Rule Label for All Store Views","Standaard regel label voor alle winkelweergaven"
"Use Auto Generation","Gebruik de Automatische Generatie"
"If you select and save the rule you will be able to generate multiple coupon codes.","Als u de regel selecteert en opslaat kunt u meerdere coupon codes genereren."
"Uses per Coupon","Aantal gebruiken per kortingsbon"
"Uses per Customer","Aantal gebruiken per klant"
"Usage limit enforced for logged in customers only.","Usage limit enforced for logged in customers only."
"Public In RSS Feed","Publiekelijk in RSS Feed"
"Cart Price Rules","Cart Price Rules"
"New Cart Price Rule","New Cart Price Rule"
"The wrong rule is specified.","The wrong rule is specified."
"We can't find a rule to delete.","We can't find a rule to delete."
"Rule is not defined","Regel is niet gedefinieerd"
"Invalid data provided","Invalid data provided"
"%1 coupon(s) have been generated.","%1 coupon(s) have been generated."
"Something went wrong while generating coupons. Please review the log and try again.","Something went wrong while generating coupons. Please review the log and try again."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","We cannot create the requested Coupon Qty. Please check your settings and try again."
"%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Shopping Cart Price Rules based on ""%2"" attribute have been disabled."
