"Actions","Acties"
"Add Answer","Voeg Antwoord toe"
"Add New Answer","Voeg Nieuw Antwoord toe"
"Add New Poll","Voeg Nieuwe Peiling toe"
"Answer Title","Beantwoord Titel"
"Answer Title:","Beantwoord Titel:"
"Answer with the same title in this poll","Antwoord met dezelfde titel in deze peiling"
"Are you sure you want to delete it?","Weet u zeker dat u het wilt verwijderen?"
"Assigned Answers","Toegewezen Antwoorden"
"Closed","Gesloten"
"Community Poll","Peiling Community"
"Date Closed","Data Gesloten"
"Date Posted","Datum Gepost"
"Delete","Verwijderen"
"Delete Answer","Verwijder Antwoord"
"Delete Poll","Verwijder Peiling"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Sta Meedere Keren Stemmen in een Peiling van Zelfde IP-adres niet toe"
"Edit Answer '%s'","Bewerk Antwoord '%s'"
"Edit Poll '%s'","Bewerk Peiling '%s'"
"Edit Poll Answer","Bewerk Antwoord Peiling"
"ID","ID"
"Invalid Answer.","Ongeldig Antwoord."
"New Poll","Nieuwe Poll"
"Number of Responses","Aantal Responses"
"Open","Open"
"Poll Answers","Peiling antwoorden"
"Poll Information","Peiling informatie"
"Poll Manager","Poll Manager"
"Poll Question","Peiling vraag"
"Poll information","Peiling informatie"
"Poll with the same question","Peiling met dezelfde vraag"
"Polls","Peilingen"
"Save Answer","Antwoord opslaan"
"Save Poll","Peiling opslaan"
"Status","Status"
"The answer has been saved.","Het antwoord is opgeslagen."
"The poll does not exist.","De peiling bestaat niet."
"Unable to find an answer to delete.","Kan geen antwoord vinden om te verwijderen."
"Visible In","Zichtbaar in"
"Vote","Stem"
"Votes Count","Aantal stemmen"
"Votes Count:","Aantal stemmen:"
