"Add","Adicionar"
"Add gift message for shopping cart","Adicionar mensagem de presente no carrinho de compras"
"Add gift messages for quote item of shopping cart","Adicionar mensagens de presente em item cotado carrinho de compras"
"Add gift messages to products of shopping cart","Adicionar mensagens de presente a produtos do carrinho de compras"
"Add gift options","Adicionar opções de presente"
"Add gift options for Individual Items","Adicionar opções de presente em Itens Individuais"
"Add gift options for the Entire Order","Adicionar opções de presente no Pedido Completo"
"Add gift options.","Adicionar opções de presente."
"Allow Gift Messages for Order Items","Permitir Mensagens de Presente em Itens do Pedido"
"Allow Gift Messages on Order Level","Permitir Mensagens de Presente em Nível de Pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao salvar a mensagem de presente."
"Are you sure?","Tem certeza?"
"Cancel","Cancelar"
"Do you have any gift items in your order?","Você tem algum item de presente em seu pedido?"
"Edit","Editar"
"From","De"
"Gift Message","Mensagem de presente"
"Gift Message API","API para Mensagens de Presente"
"Gift Options","Opções de presente"
"Gift Options for","Opções de Presente para"
"Gift Options for Individual Items","Opções de Presente para Itens Individuais"
"Gift Options for the Entire Order.","Opções de Presente para o Pedido Completo."
"Gift Options for this address.","Opções de presente para este endereço."
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"OK","OK"
"Save Gift Message","Salvar mensagem de presente"
"The gift message has been removed","A mensagem de presente foi removida"
"The gift message has been saved","A mensagem de presente foi salva"
"The gift message has been saved.","A mensagem de presente foi salva."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Use config"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Você pode deixar este campo em branco se você não pretende adicionar uma mensagem de presente para o item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Você pode deixar este campo em branco se você não pretende adicionar uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Você pode deixar este campo em branco se você não pretende adicionar uma mensagem de presente para toda a ordem."
